Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2022-01-01,"-13,005515","-38,50576",0.0,1006.5,1168.88,26.47,76.12,4.63
2022-01-02,"-13,005515","-38,50576",0.0,1007.16,1901.72,26.72,74.38,3.67
2022-01-03,"-13,005515","-38,50576",0.0,1007.24,1792.65,26.72,72.75,4.4
2022-01-04,"-13,005515","-38,50576",8.8,1006.13,986.38,25.06,81.79,3.14
2022-01-05,"-13,005515","-38,50576",0.0,1005.57,1878.67,26.67,76.08,4.51
2022-01-06,"-13,005515","-38,50576",0.0,1005.27,1512.02,26.65,76.83,5.2
2022-01-07,"-13,005515","-38,50576",0.0,1004.9,1205.69,27.16,79.46,5.73
2022-01-08,"-13,005515","-38,50576",0.8,1004.95,1298.76,27.27,79.29,6.24
2022-01-09,"-13,005515","-38,50576",0.0,1006.5,964.55,26.59,80.38,4.82
2022-01-10,"-13,005515","-38,50576",0.0,1006.67,1796.35,27.16,79.5,3.94
2022-01-11,"-13,005515","-38,50576",0.0,1006.55,1929.89,27.17,77.0,4.92
2022-01-12,"-13,005515","-38,50576",0.0,1007.53,1859.47,27.34,69.92,4.9
2022-01-13,"-13,005515","-38,50576",0.0,1009.18,1704.81,26.64,76.75,3.38
2022-01-14,"-13,005515","-38,50576",0.2,1010.45,1739.86,27.43,70.62,4.81
2022-01-15,"-13,005515","-38,50576",2.0,1009.71,1760.46,27.25,73.54,5.18
2022-01-16,"-13,005515","-38,50576",10.0,1008.8,1635.21,25.69,82.88,3.7
2022-01-17,"-13,005515","-38,50576",0.0,1008.57,2006.01,27.19,74.17,3.95
2022-01-18,"-13,005515","-38,50576",0.0,1008.98,1985.05,27.01,68.88,3.9
2022-01-19,"-13,005515","-38,50576",0.8,1009.65,1747.14,26.61,80.17,3.86
2022-01-20,"-13,005515","-38,50576",0.8,1008.42,1840.71,27.3,79.83,4.12
2022-01-21,"-13,005515","-38,50576",0.0,1006.05,1977.66,28.07,75.04,3.87
2022-01-22,"-13,005515","-38,50576",2.2,1005.88,1745.99,27.48,78.29,3.9
2022-01-23,"-13,005515","-38,50576",5.4,1006.06,1187.04,26.6,81.42,4.64
2022-01-24,"-13,005515","-38,50576",0.4,1005.99,569.97,26.1,80.62,3.99
2022-01-25,"-13,005515","-38,50576",0.0,1006.36,1755.44,27.25,77.83,3.81
2022-01-26,"-13,005515","-38,50576",0.4,1006.63,1203.94,27.68,76.29,4.36
2022-01-27,"-13,005515","-38,50576",3.0,1005.54,1933.85,27.44,78.67,3.91
2022-01-28,"-13,005515","-38,50576",0.0,1004.55,1618.47,27.22,76.83,3.83
2022-01-29,"-13,005515","-38,50576",0.0,1005.22,1467.99,28.12,70.79,4.92
2022-01-30,"-13,005515","-38,50576",0.0,1007.03,1190.79,27.77,72.83,4.4
2022-01-31,"-13,005515","-38,50576",0.0,1006.87,1997.88,28.57,70.42,4.75
2022-02-01,"-13,005515","-38,50576",0.0,1006.75,2011.74,28.43,71.88,4.6
2022-02-02,"-13,005515","-38,50576",0.0,1006.93,1575.11,27.92,73.33,3.95
2022-02-03,"-13,005515","-38,50576",0.0,1006.8,1949.01,28.37,71.08,4.22
2022-02-04,"-13,005515","-38,50576",0.0,1006.52,1893.43,28.37,71.71,4.52
2022-02-05,"-13,005515","-38,50576",13.2,1006.01,977.86,26.32,81.25,4.3
2022-02-06,"-13,005515","-38,50576",1.6,1006.23,1209.7,26.81,78.58,4.22
2022-02-07,"-13,005515","-38,50576",0.0,1006.12,1703.92,27.65,76.25,4.15
2022-02-08,"-13,005515","-38,50576",0.0,1005.45,2005.34,28.18,73.38,4.19
2022-02-09,"-13,005515","-38,50576",0.0,1004.22,1849.51,28.22,73.17,4.55
2022-02-10,"-13,005515","-38,50576",0.0,1004.54,2018.4,28.32,73.21,4.67
2022-02-11,"-13,005515","-38,50576",0.2,1004.55,791.95,26.95,81.5,4.13
2022-02-12,"-13,005515","-38,50576",6.6,1004.56,640.49,26.84,83.75,3.71
2022-02-13,"-13,005515","-38,50576",1.8,1005.02,748.57,26.36,84.38,4.18
2022-02-14,"-13,005515","-38,50576",15.2,1005.7,845.87,26.14,86.83,3.64
2022-02-15,"-13,005515","-38,50576",1.4,1006.18,1714.48,27.35,80.67,4.15
2022-02-16,"-13,005515","-38,50576",0.0,1006.49,1900.26,27.76,74.08,4.09
2022-02-17,"-13,005515","-38,50576",3.8,1006.2,1397.47,27.2,75.17,3.95
2022-02-18,"-13,005515","-38,50576",0.2,1004.33,1594.98,27.22,75.42,4.41
2022-02-19,"-13,005515","-38,50576",0.0,1004.68,1215.77,27.23,76.75,4.35
2022-02-20,"-13,005515","-38,50576",0.0,1006.95,1920.72,28.32,74.04,4.64
2022-02-21,"-13,005515","-38,50576",12.4,1008.06,1273.82,26.59,81.62,3.58
2022-02-22,"-13,005515","-38,50576",0.4,1007.52,1888.03,27.36,76.83,3.6
2022-02-23,"-13,005515","-38,50576",16.2,1006.57,1559.4,26.32,82.58,3.53
2022-02-24,"-13,005515","-38,50576",28.6,1006.77,1221.71,26.11,85.42,3.52
2022-02-25,"-13,005515","-38,50576",2.8,1007.9,1956.14,27.33,78.83,4.92
2022-02-26,"-13,005515","-38,50576",1.2,1008.59,1881.58,27.42,75.92,4.77
2022-02-27,"-13,005515","-38,50576",0.8,1007.21,1955.55,27.68,72.25,4.52
2022-02-28,"-13,005515","-38,50576",0.0,1006.82,1819.73,27.58,72.08,4.77
