Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-16,64277777","-49,22027777",0.2,931.6,1207.37,24.16,74.75,2.75
2023-01-02,"-16,64277777","-49,22027777",4.6,930.52,1064.99,24.26,74.5,3.57
2023-01-03,"-16,64277777","-49,22027777",19.0,930.31,763.69,22.27,85.08,3.19
2023-01-04,"-16,64277777","-49,22027777",18.4,930.62,935.41,22.02,85.58,3.45
2023-01-05,"-16,64277777","-49,22027777",3.0,930.15,942.28,22.84,80.68,4.27
2023-01-06,"-16,64277777","-49,22027777",29.4,931.01,953.01,21.96,85.04,5.18
2023-01-07,"-16,64277777","-49,22027777",1.0,932.14,1234.94,23.06,76.38,4.35
2023-01-08,"-16,64277777","-49,22027777",1.4,932.22,1211.87,22.96,80.08,4.32
2023-01-09,"-16,64277777","-49,22027777",3.8,932.1,1114.66,22.43,83.17,3.06
2023-01-10,"-16,64277777","-49,22027777",13.0,932.73,1374.71,22.75,78.42,2.79
2023-01-11,"-16,64277777","-49,22027777",0.4,932.82,1643.26,23.67,75.38,3.16
2023-01-12,"-16,64277777","-49,22027777",0.4,931.28,1605.45,24.25,71.5,2.99
2023-01-13,"-16,64277777","-49,22027777",5.6,931.01,1158.49,22.66,80.75,3.78
2023-01-14,"-16,64277777","-49,22027777",3.0,932.01,1434.75,22.81,80.54,2.74
2023-01-15,"-16,64277777","-49,22027777",9.4,932.41,1472.61,23.51,80.42,2.72
2023-01-16,"-16,64277777","-49,22027777",18.2,931.07,1374.95,24.82,74.42,3.41
2023-01-17,"-16,64277777","-49,22027777",0.0,930.95,1911.49,25.69,62.62,3.69
2023-01-18,"-16,64277777","-49,22027777",1.4,932.61,1734.45,23.72,71.21,3.11
2023-01-19,"-16,64277777","-49,22027777",0.6,932.81,1961.3,24.1,70.67,3.47
2023-01-20,"-16,64277777","-49,22027777",3.6,931.6,1528.55,24.41,73.08,3.38
2023-01-21,"-16,64277777","-49,22027777",22.6,930.75,683.81,22.21,82.83,3.01
2023-01-22,"-16,64277777","-49,22027777",10.6,930.16,1342.45,22.4,83.42,3.7
2023-01-23,"-16,64277777","-49,22027777",6.0,930.78,1585.25,22.76,79.46,4.31
2023-01-24,"-16,64277777","-49,22027777",6.0,930.02,1302.07,23.35,79.29,3.97
2023-01-25,"-16,64277777","-49,22027777",0.4,929.17,1145.79,23.74,79.5,2.63
2023-01-26,"-16,64277777","-49,22027777",91.2,928.63,1166.48,23.26,82.79,2.85
2023-01-27,"-16,64277777","-49,22027777",4.0,930.03,1457.55,22.59,80.38,3.12
2023-01-28,"-16,64277777","-49,22027777",20.0,932.43,1440.65,23.13,76.88,3.22
2023-01-29,"-16,64277777","-49,22027777",58.8,932.07,1798.15,23.57,76.79,3.54
2023-01-30,"-16,64277777","-49,22027777",1.2,930.81,1429.38,22.57,80.0,2.83
2023-01-31,"-16,64277777","-49,22027777",0.2,930.86,1299.89,23.66,75.54,3.25
2023-02-01,"-16,64277777","-49,22027777",0.0,931.32,1724.88,25.27,69.0,2.81
2023-02-02,"-16,64277777","-49,22027777",0.4,931.75,1493.52,25.11,70.67,2.7
2023-02-03,"-16,64277777","-49,22027777",15.4,932.16,1688.32,24.69,74.12,3.63
2023-02-04,"-16,64277777","-49,22027777",0.0,933.4,1659.57,25.15,70.58,3.4
2023-02-05,"-16,64277777","-49,22027777",0.0,933.22,1580.45,24.38,71.54,3.11
2023-02-06,"-16,64277777","-49,22027777",7.8,932.18,1004.17,23.05,78.46,3.94
2023-02-07,"-16,64277777","-49,22027777",0.0,931.84,1819.38,24.09,72.67,2.94
2023-02-08,"-16,64277777","-49,22027777",0.0,930.68,1274.4,25.3,69.33,2.88
2023-02-09,"-16,64277777","-49,22027777",63.6,931.65,1099.27,23.27,78.75,3.39
2023-02-10,"-16,64277777","-49,22027777",21.6,931.6,955.56,22.02,85.92,2.86
2023-02-11,"-16,64277777","-49,22027777",6.6,931.25,1663.53,24.02,73.5,3.84
2023-02-12,"-16,64277777","-49,22027777",7.0,930.44,1305.16,24.9,74.25,3.71
2023-02-13,"-16,64277777","-49,22027777",4.6,930.86,1432.97,24.03,74.46,3.12
2023-02-14,"-16,64277777","-49,22027777",0.0,930.4,1740.64,26.21,67.83,2.67
2023-02-15,"-16,64277777","-49,22027777",0.0,929.07,2020.69,26.52,62.54,2.98
2023-02-16,"-16,64277777","-49,22027777",0.0,928.04,2015.65,26.44,64.62,3.97
2023-02-17,"-16,64277777","-49,22027777",0.0,928.27,2012.2,26.67,63.71,2.94
2023-02-18,"-16,64277777","-49,22027777",16.6,930.51,957.47,22.97,78.75,3.3
2023-02-19,"-16,64277777","-49,22027777",0.2,930.25,1871.84,25.29,71.0,4.77
2023-02-20,"-16,64277777","-49,22027777",0.0,931.28,1387.28,23.84,73.42,3.83
2023-02-21,"-16,64277777","-49,22027777",7.2,932.33,1438.29,23.52,74.88,3.67
2023-02-22,"-16,64277777","-49,22027777",10.2,934.14,1181.52,22.8,77.83,3.77
2023-02-23,"-16,64277777","-49,22027777",4.4,934.61,1663.02,23.91,75.54,3.57
2023-02-24,"-16,64277777","-49,22027777",2.6,932.82,1875.13,23.95,74.79,3.02
2023-02-25,"-16,64277777","-49,22027777",4.0,931.69,1435.22,23.8,81.21,2.85
2023-02-26,"-16,64277777","-49,22027777",0.6,932.74,1766.58,25.79,70.12,3.05
2023-02-27,"-16,64277777","-49,22027777",0.0,933.32,1754.84,26.72,64.04,3.76
2023-02-28,"-16,64277777","-49,22027777",0.0,933.37,1711.82,26.42,57.29,3.32
2023-03-01,"-16,64277777","-49,22027777",4.6,933.77,1268.28,23.55,74.62,3.83
2023-03-02,"-16,64277777","-49,22027777",0.0,932.13,1461.42,24.07,70.12,3.62
2023-03-03,"-16,64277777","-49,22027777",14.6,931.45,943.58,23.86,77.17,3.26
